Country name,min,max
Lebanon,2005,2023
Canada,2005,2023
Saudi Arabia,2005,2023
Romania,2005,2023
Jordan,2005,2023
Denmark,2005,2023
Poland,2005,2023
Egypt,2005,2023
Pakistan,2005,2023
France,2005,2023
Germany,2005,2023
Greece,2005,2023
Netherlands,2005,2023
Mexico,2005,2023
Hungary,2005,2023
Iran,2005,2023
Italy,2005,2023
Japan,2005,2023
Spain,2005,2023
Sweden,2005,2023
Czechia,2005,2023
Brazil,2005,2023
Venezuela,2005,2023
Tï¿½rkiye,2005,2023
United Kingdom,2005,2023
Belgium,2005,2023
Australia,2005,2023
Nicaragua,2006,2023
United Arab Emirates,2006,2023
New Zealand,2006,2023
Nepal,2006,2023
Mozambique,2006,2023
Moldova,2006,2023
United States,2006,2023
Mali,2006,2023
Uruguay,2006,2023
Malaysia,2006,2023
Malawi,2006,2023
Madagascar,2006,2023
Uzbekistan,2006,2023
Lithuania,2006,2023
Zambia,2006,2023
Latvia,2006,2023
Laos,2006,2023
Kyrgyzstan,2006,2023
Vietnam,2006,2023
Niger,2006,2023
Nigeria,2006,2023
Norway,2006,2023
Switzerland,2006,2023
State of Palestine,2006,2023
Sri Lanka,2006,2023
Taiwan Province of China,2006,2023
Tajikistan,2006,2023
South Korea,2006,2023
South Africa,2006,2023
Slovenia,2006,2023
Slovakia,2006,2023
Singapore,2006,2023
Sierra Leone,2006,2023
Senegal,2006,2023
Tanzania,2006,2023
Rwanda,2006,2019
Russia,2006,2023
Thailand,2006,2023
Togo,2006,2023
Trinidad and Tobago,2006,2017
Portugal,2006,2023
Philippines,2006,2023
Peru,2006,2023
Paraguay,2006,2023
Panama,2006,2023
Uganda,2006,2023
Ukraine,2006,2023
Kuwait,2006,2023
Zimbabwe,2006,2023
China,2006,2023
Cuba,2006,2006
Benin,2006,2023
Cyprus,2006,2023
Bolivia,2006,2023
Colombia,2006,2023
Kenya,2006,2023
Guatemala,2006,2023
Ghana,2006,2023
Georgia,2006,2023
Botswana,2006,2023
Cambodia,2006,2023
Dominican Republic,2006,2023
Finland,2006,2023
Ecuador,2006,2023
Burkina Faso,2006,2023
Haiti,2006,2018
El Salvador,2006,2023
Honduras,2006,2023
Cameroon,2006,2023
Kazakhstan,2006,2023
Jamaica,2006,2022
Chile,2006,2023
Israel,2006,2023
Ireland,2006,2023
Chad,2006,2023
Argentina,2006,2023
Costa Rica,2006,2023
Armenia,2006,2023
Indonesia,2006,2023
India,2006,2023
Azerbaijan,2006,2023
Bangladesh,2006,2023
Hong Kong S.A.R. of China,2006,2022
Belarus,2006,2019
Austria,2006,2023
Estonia,2006,2023
Serbia,2007,2023
Croatia,2007,2023
Kosovo,2007,2023
Bulgaria,2007,2023
North Macedonia,2007,2023
Bosnia and Herzegovina,2007,2023
Guyana,2007,2007
Montenegro,2007,2023
Mongolia,2007,2023
Belize,2007,2014
Mauritania,2007,2023
Liberia,2007,2023
Albania,2007,2023
Yemen,2007,2023
Namibia,2007,2023
Syria,2008,2015
Burundi,2008,2018
Afghanistan,2008,2023
Congo (Brazzaville),2008,2023
Iraq,2008,2023
Djibouti,2008,2011
Iceland,2008,2023
Somaliland region,2009,2012
Ivory Coast,2009,2023
Luxembourg,2009,2023
Bahrain,2009,2023
Malta,2009,2023
Turkmenistan,2009,2019
Tunisia,2009,2023
Qatar,2009,2015
Sudan,2009,2014
Comoros,2009,2023
Congo (Kinshasa),2009,2023
Algeria,2010,2022
Morocco,2010,2023
Mauritius,2011,2023
Oman,2011,2011
Gabon,2011,2023
Eswatini,2011,2022
Angola,2011,2014
Lesotho,2011,2022
Guinea,2011,2023
Ethiopia,2012,2023
Suriname,2012,2012
Libya,2012,2023
Myanmar,2012,2023
Bhutan,2013,2015
South Sudan,2014,2017
Somalia,2014,2016
Gambia,2017,2023
Maldives,2018,2018
